"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
142 4.713 "A1" "Washout" "10" "C12"
143 4.070 "A1" "Washout" "11" "C12"
144 4.575 "A1" "Washout" "12" "C12"
145 1.362 "A1" "Early" "1" "C13"
146 52.734 "A1" "Early" "2" "C13"
147 51.069 "A1" "Early" "3" "C13"
148 49.850 "A1" "Early" "4" "C13"
149 53.962 "A1" "Late" "5" "C13"
150 57.636 "A1" "Late" "6" "C13"
151 56.670 "A1" "Late" "7" "C13"
152 58.260 "A1" "Late" "8" "C13"
153 5.405 "A1" "Washout" "9" "C13"
154 3.731 "A1" "Washout" "10" "C13"
155 3.359 "A1" "Washout" "11" "C13"
156 1.910 "A1" "Washout" "12" "C13"
157 14.542 "A1" "Early" "1" "C14"
158 42.552 "A1" "Early" "2" "C14"
159 45.847 "A1" "Early" "3" "C14"
160 47.860 "A1" "Early" "4" "C14"
161 44.337 "A1" "Late" "5" "C14"
162 48.728 "A1" "Late" "6" "C14"
163 42.613 "A1" "Late" "7" "C14"
164 41.797 "A1" "Late" "8" "C14"
165 -3.813 "A1" "Washout" "9" "C14"
166 -4.633 "A1" "Washout" "10" "C14"
167 -3.081 "A1" "Washout" "11" "C14"
168 -2.243 "A1" "Washout" "12" "C14"
169 -2.374 "A1" "Early" "1" "C15"
170 22.903 "A1" "Early" "2" "C15"
171 55.101 "A1" "Early" "3" "C15"
172 60.941 "A1" "Early" "4" "C15"
173 53.244 "A1" "Late" "5" "C15"
174 58.035 "A1" "Late" "6" "C15"
175 47.275 "A1" "Late" "7" "C15"
176 37.903 "A1" "Late" "8" "C15"
177 5.773 "A1" "Washout" "9" "C15"
178 3.024 "A1" "Washout" "10" "C15"
179 5.196 "A1" "Washout" "11" "C15"
180 -0.707 "A1" "Washout" "12" "C15"
181 11.520 "A2" "Early" "1" "C1"
182 7.827 "A2" "Early" "2" "C1"
183 16.391 "A2" "Early" "3" "C1"
184 28.880 "A2" "Early" "4" "C1"
185 59.753 "A2" "Late" "5" "C1"
186 58.559 "A2" "Late" "6" "C1"
187 41.129 "A2" "Late" "7" "C1"
188 41.200 "A2" "Late" "8" "C1"
189 3.666 "A2" "Washout" "9" "C1"
190 3.432 "A2" "Washout" "10" "C1"
191 2.748 "A2" "Washout" "11" "C1"
192 2.210 "A2" "Washout" "12" "C1"
193 14.902 "A2" "Early" "1" "C2"
194 14.416 "A2" "Early" "2" "C2"
195 50.150 "A2" "Early" "3" "C2"
196 21.595 "A2" "Early" "4" "C2"
197 41.265 "A2" "Late" "5" "C2"
198 42.599 "A2" "Late" "6" "C2"
199 57.994 "A2" "Late" "7" "C2"
200 42.156 "A2" "Late" "8" "C2"
201 2.965 "A2" "Washout" "9" "C2"
202 2.280 "A2" "Washout" "10" "C2"
203 3.222 "A2" "Washout" "11" "C2"
204 1.715 "A2" "Washout" "12" "C2"
205 8.216 "A2" "Early" "1" "C3"
206 35.631 "A2" "Early" "2" "C3"
207 31.046 "A2" "Early" "3" "C3"
208 52.976 "A2" "Early" "4" "C3"
209 46.984 "A2" "Late" "5" "C3"
210 40.300 "A2" "Late" "6" "C3"
211 46.631 "A2" "Late" "7" "C3"
212 36.998 "A2" "Late" "8" "C3"
213 0.208 "A2" "Washout" "9" "C3"
214 0.510 "A2" "Washout" "10" "C3"
215 -3.613 "A2" "Washout" "11" "C3"
216 3.875 "A2" "Washout" "12" "C3"
217 20.293 "A2" "Early" "1" "C4"
218 44.269 "A2" "Early" "2" "C4"
219 47.429 "A2" "Early" "3" "C4"
220 45.845 "A2" "Early" "4" "C4"
221 46.249 "A2" "Late" "5" "C4"
222 46.157 "A2" "Late" "6" "C4"
223 45.525 "A2" "Late" "7" "C4"
